kode,provinsi,tahun,kurang_40,41-50,51-60,61-70,lebih_70,meninggal
8,LAMPUNG,2018,3.846153846,26.92307692,46.15384615,15.38461538,7.692307692,3.846153846
9,BENGKULU,2018,4.024725275,15.05494505,37.0467033,31.95054945,11.92307692,0.384615385
10,BANGKA BELITUNG,2018,10.6350915,26.20021529,37.17976319,21.35629709,4.628632939,0.258342304
11,BANTEN,2018,17.0212766,23.40425532,25.53191489,29.78723404,4.255319149,0
12,DKI,2018,19.44444444,31.66666667,24.44444444,10.55555556,13.88888889,0
13,JAWA BARAT,2018,11.74166824,26.77461872,33.89192243,19.36358501,8.228205611,0.210883073
14,JAWA TENGAH,2018,8.12024448,23.69132261,38.52438568,23.74745333,5.916593905,0.166313251
15,DIY,2018,7.647971625,22.82568536,38.14379665,24.2074928,7.175053573,0.147786891
16,JAWA TIMUR,2018,31.25,25,37.5,6.25,0,0
17,BALI,2018,0,62.5,25,12.5,0,0
18,NUSA TENGGARA BARAT,2018,7.18302011,25.9966567,35.46932779,22.79519781,8.555797579,0.222886379
19,NUSA TENGGARA TIMUR,2018,28.57142857,39.28571429,17.85714286,14.28571429,0,0
20,KALIMANTAN SELATAN,2018,0,50,25,0,25,0
21,KLIMANTAN TENGAH,2018,0,0,33.33333333,66.66666667,0,0
22,KALIMANTAN BARAT,2018,0,40,40,20,0,0
23,KALIMANTAN TIMUR,2018,12.5,50,25,12.5,0,0
24,KALIMANTAN UTARA',2018,0,0,0,0,0,0
25,SELAWESI SELATAN,2018,0,0,0,50,50,0
26,SULAWESI TENGAH,2018,0,0,0,0,0,0
27,SULAWESI BARAT,2018,0,0,0,0,0,0
28,SULAWESI UTARA,2018,25,25,0,50,0,0
29,SULAWESI TENGGARA,2018,0,100,0,0,0,0
30,MALUKU,2018,0,0,50,50,0,0
31,MALUKU UTARA,2018,0,0,100,0,0,0
32,GORONTALO,2018,0,0,0,0,0,0
33,PAPUA,2018,0,50,50,0,0,0
34,PAPUA BARAT,2018,0,0,100,0,0,0
1,ACEH,2019,0,0,0,0,0,0
2,SUMATERA UTARA,2019,0,33.33333333,66.66666667,0,0,0
